case	gene	probe	delta_beta	delta_rna	beta_tp	beta_r1
GLSS-LU-00C7	CD44	cg07262328	0.10834949000000002	4.896503332073103	0.05918731	0.1675368
GLSS-LU-00C7	CD44	cg08530414	-0.006863370000000001	4.896503332073103	0.06742508	0.06056171
GLSS-LU-00C7	CD44	cg08606356	-0.05626513999999999	4.896503332073103	0.1233663	0.06710116
GLSS-LU-00C7	CD44	cg08688659	0.0784298	4.896503332073103	0.8557773	0.9342071
GLSS-LU-00C7	CD44	cg09077672	0.429055	4.896503332073103	0.4728455	0.9019005
GLSS-LU-00C7	CD44	cg13332350	0.09135770000000001	4.896503332073103	0.2108653	0.302223
GLSS-LU-00C7	CD44	cg13369159	0.2794253	4.896503332073103	0.609473	0.8888983
GLSS-LU-00C7	CD44	cg14082886	0.3915791	4.896503332073103	0.4747377	0.8663168
GLSS-LU-00C7	CD44	cg14593191	0.0031910999999999745	4.896503332073103	0.2481342	0.2513253
GLSS-LU-00C7	CD44	cg15239179	0.33082429999999996	4.896503332073103	0.5758048	0.9066291
GLSS-LU-00C7	CD44	cg15427520	0.001809100000000008	4.896503332073103	0.7361126	0.7379217
GLSS-LU-00C7	CD44	cg15695194	0.12188370000000004	4.896503332073103	0.805303	0.9271867
GLSS-LU-00C7	CD44	cg16175294	0.18432720000000002	4.896503332073103	0.6424925	0.8268197
GLSS-LU-00C7	CD44	cg16344511	0.38038359999999993	4.896503332073103	0.4633956	0.8437792
GLSS-LU-00C7	CD44	cg17640322	-0.22308817999999997	4.896503332073103	0.2540898	0.03100162
GLSS-LU-00C7	CD44	cg18652941	0.06563311999999999	4.896503332073103	0.05636628	0.1219994
GLSS-LU-00C7	CD44	cg19292760	0.2706552	4.896503332073103	0.5105611	0.7812163
GLSS-LU-00C7	CD44	cg19430728	0.1391136	4.896503332073103	0.4448541	0.5839677
GLSS-LU-00C7	CD44	cg20143092	-0.02183857	4.896503332073103	0.09709487	0.0752563
GLSS-LU-00C7	CD44	cg20971158	0.32586760000000004	4.896503332073103	0.514245	0.8401126
GLSS-LU-00C7	CD44	cg21076259	0.149613	4.896503332073103	0.0600836	0.2096966
GLSS-LU-00C7	CD44	cg23186333	0.40845859999999995	4.896503332073103	0.4061851	0.8146437
GLSS-LU-00C7	CD44	cg23210303	0.3591678	4.896503332073103	0.4477383	0.8069061
GLSS-LU-00C7	CD44	cg25096745	0.39980640000000006	4.896503332073103	0.4512074	0.8510138
GLSS-LU-00C4	CHI3L1	cg02097014	0.1370752062118757	-0.053111417017223446	0.0904033870647823	0.227478593276658
GLSS-LU-00C4	CHI3L1	cg03625911	-0.08225989999999994	-0.053111417017223446	0.748134	0.6658741
GLSS-LU-00C4	CHI3L1	cg04361579	0.0770828	-0.053111417017223446	0.8507703	0.9278531
GLSS-LU-00C4	CHI3L1	cg05526099	0.015483899999999995	-0.053111417017223446	0.9303584	0.9458423
GLSS-LU-00C4	CHI3L1	cg07423149	0.2131339	-0.053111417017223446	0.1430106	0.3561445
GLSS-LU-00C4	CHI3L1	cg11196333	0.3216374000000001	-0.053111417017223446	0.5942647	0.9159021
GLSS-LU-00C4	CHI3L1	cg13134650	0.08896549999999998	-0.053111417017223446	0.23218	0.3211455
GLSS-LU-00C4	CHI3L1	cg14085262	0.6571560000000001	-0.053111417017223446	0.149353	0.806509
GLSS-LU-00C4	CHI3L1	cg14165900	0.06390770000000001	-0.053111417017223446	0.8679969	0.9319046
GLSS-LU-00C4	CHI3L1	cg15490070	0.22315060000000003	-0.053111417017223446	0.2845817	0.5077323
GLSS-LU-00C4	CHI3L1	cg17000774	0.03416219999999992	-0.053111417017223446	0.7068484	0.7410106
GLSS-LU-00C4	CHI3L1	cg17014757	0.13763050000000002	-0.053111417017223446	0.2374745	0.375105
GLSS-LU-00C4	CHI3L1	cg19081101	-0.03024070000000001	-0.053111417017223446	0.3829415	0.3527008
GLSS-LU-00C4	CHI3L1	cg20707774	0.035801800000000106	-0.053111417017223446	0.9116321	0.9474339
GLSS-LU-00C4	CD44	cg01663768	0.01791243908558761	-1.1785720451057702	0.0637245645068887	0.0816370035924763
GLSS-LU-00C4	CD44	cg01766065	-0.0261703384894756	-1.1785720451057702	0.0509438268119903	0.0247734883225147
GLSS-LU-00C4	CD44	cg01879488	-0.1152484542837641	-1.1785720451057702	0.157459897615955	0.0422114433321909
GLSS-LU-00C4	CD44	cg02081846	0.033361627076825995	-1.1785720451057702	0.720685199219646	0.754046826296472
GLSS-LU-00C4	CD44	cg02663352	0.09624968485429497	-1.1785720451057702	0.82317820637863	0.919427891232925
GLSS-LU-00C4	CD44	cg04125208	-0.007278019999999996	-1.1785720451057702	0.04517536	0.03789734
GLSS-LU-00C4	CD44	cg04171808	-0.0043593999999999855	-1.1785720451057702	0.2470527	0.2426933
GLSS-LU-00C4	CD44	cg06975166	0.08034849999999993	-1.1785720451057702	0.8226436	0.9029921
GLSS-LU-00C4	CD44	cg07262328	0.0195076	-1.1785720451057702	0.1017638	0.1212714
GLSS-LU-00C4	CD44	cg08530414	0.032557169999999996	-1.1785720451057702	0.05206318	0.08462035
GLSS-LU-00C4	CD44	cg08606356	-0.10033241000000001	-1.1785720451057702	0.1370906	0.03675819
GLSS-LU-00C4	CD44	cg08688659	0.004248499999999988	-1.1785720451057702	0.8907413	0.8949898
GLSS-LU-00C4	CD44	cg09077672	0.2541608	-1.1785720451057702	0.4993656	0.7535264
GLSS-LU-00C4	CD44	cg13332350	0.24829619999999997	-1.1785720451057702	0.5582167	0.8065129
GLSS-LU-00C4	CD44	cg13369159	0.20823670000000005	-1.1785720451057702	0.5946541	0.8028908
GLSS-LU-00C4	CD44	cg15239179	0.005891099999999927	-1.1785720451057702	0.7279427	0.7338338
GLSS-LU-00C4	CD44	cg15427520	0.03686769999999995	-1.1785720451057702	0.7108815	0.7477492
GLSS-LU-00C4	CD44	cg15695194	0.09703830000000002	-1.1785720451057702	0.8134057	0.910444
GLSS-LU-00C4	CD44	cg16175294	0.01915100000000003	-1.1785720451057702	0.7873861	0.8065371
GLSS-LU-00C4	CD44	cg16344511	0.09004780000000001	-1.1785720451057702	0.6918849	0.7819327
GLSS-LU-00C4	CD44	cg17640322	-0.14198219	-1.1785720451057702	0.1785614	0.03657921
GLSS-LU-00C4	CD44	cg18652941	-0.11643209999999998	-1.1785720451057702	0.2107942	0.0943621
GLSS-LU-00C4	CD44	cg19292760	0.03891920000000004	-1.1785720451057702	0.4013923	0.4403115
GLSS-LU-00C4	CD44	cg19430728	0.1320844	-1.1785720451057702	0.7091714	0.8412558
GLSS-LU-00C4	CD44	cg20143092	-0.06542685000000001	-1.1785720451057702	0.1091887	0.04376185
GLSS-LU-00C4	CD44	cg20971158	0.06608800000000004	-1.1785720451057702	0.5940454	0.6601334
GLSS-LU-00C4	CD44	cg21076259	0.04924734	-1.1785720451057702	0.05636866	0.105616
GLSS-LU-00C4	CD44	cg25096745	0.12103309999999995	-1.1785720451057702	0.4996398	0.6206729
TCGA-TQ-A7RV	CHI3L1	cg02097014	0.060244687249244006	2.131518670126864	0.185019320283118	0.245264007532362
TCGA-TQ-A7RV	CHI3L1	cg03625911	0.029318399999999967	2.131518670126864	0.7961825	0.8255009
TCGA-TQ-A7RV	CHI3L1	cg04361579	0.016194799999999954	2.131518670126864	0.9474841	0.9636789
TCGA-TQ-A7RV	CHI3L1	cg05526099	0.016705599999999987	2.131518670126864	0.939079	0.9557846
TCGA-TQ-A7RV	CHI3L1	cg07423149	-0.11254800000000004	2.131518670126864	0.5095039	0.3969559
TCGA-TQ-A7RV	CHI3L1	cg11196333	-0.006598299999999946	2.131518670126864	0.9047137	0.8981154
TCGA-TQ-A7RV	CHI3L1	cg13134650	0.0972624	2.131518670126864	0.222436	0.3196984
TCGA-TQ-A7RV	CHI3L1	cg14085262	-0.013259899999999991	2.131518670126864	0.6425925	0.6293326
TCGA-TQ-A7RV	CHI3L1	cg14165900	0.026063100000000006	2.131518670126864	0.9407512	0.9668143
TCGA-TQ-A7RV	CHI3L1	cg15490070	-0.05955440000000001	2.131518670126864	0.792155	0.7326006
TCGA-TQ-A7RV	CHI3L1	cg17000774	-0.007873299999999972	2.131518670126864	0.7730228	0.7651495
TCGA-TQ-A7RV	CHI3L1	cg17014757	-0.07985759999999997	2.131518670126864	0.7315459	0.6516883
TCGA-TQ-A7RV	CHI3L1	cg19081101	-0.2668149000000001	2.131518670126864	0.646808	0.3799931
TCGA-TQ-A7RV	CHI3L1	cg20707774	-0.0033994999999999997	2.131518670126864	0.9297413	0.9263418
TCGA-TQ-A7RV	CD44	cg01663768	0.017594100408261204	1.3595865462746424	0.0625988938555756	0.0801929942638368
TCGA-TQ-A7RV	CD44	cg01766065	-0.09692826263128161	1.3595865462746424	0.127942639535182	0.0310143769039004
TCGA-TQ-A7RV	CD44	cg01879488	0.015566325248891295	1.3595865462746424	0.0390832293458144	0.0546495545947057
TCGA-TQ-A7RV	CD44	cg02081846	-0.024069321533503052	1.3595865462746424	0.950868693464611	0.926799371931108
TCGA-TQ-A7RV	CD44	cg02663352	-0.08032009970399101	1.3595865462746424	0.955601050260332	0.875280950556341
TCGA-TQ-A7RV	CD44	cg04125208	-0.03855270000000002	1.3595865462746424	0.2064371	0.1678844
TCGA-TQ-A7RV	CD44	cg04171808	-0.23727509999999996	1.3595865462746424	0.5527129	0.3154378
TCGA-TQ-A7RV	CD44	cg04699227	-0.04193879999999994	1.3595865462746424	0.9308495	0.8889107
TCGA-TQ-A7RV	CD44	cg06975166	-0.009384700000000024	1.3595865462746424	0.9655515	0.9561668
TCGA-TQ-A7RV	CD44	cg07262328	0.05887925	1.3595865462746424	0.04359935	0.1024786
TCGA-TQ-A7RV	CD44	cg08530414	-0.05246288	1.3595865462746424	0.1145626	0.06209972
TCGA-TQ-A7RV	CD44	cg08606356	0.014778729999999997	1.3595865462746424	0.03894637	0.0537251
TCGA-TQ-A7RV	CD44	cg08688659	-0.010011900000000074	1.3595865462746424	0.9317376	0.9217257
TCGA-TQ-A7RV	CD44	cg09077672	-0.061229599999999995	1.3595865462746424	0.9429067	0.8816771
TCGA-TQ-A7RV	CD44	cg13332350	0.14282309999999998	1.3595865462746424	0.5647653	0.7075884
TCGA-TQ-A7RV	CD44	cg13369159	-0.003130499999999925	1.3595865462746424	0.9043355	0.901205
TCGA-TQ-A7RV	CD44	cg14082886	0.018007400000000007	1.3595865462746424	0.7540768	0.7720842
TCGA-TQ-A7RV	CD44	cg15239179	-0.03934660000000001	1.3595865462746424	0.9498564	0.9105098
TCGA-TQ-A7RV	CD44	cg15427520	-0.0014309000000000127	1.3595865462746424	0.9379385	0.9365076
TCGA-TQ-A7RV	CD44	cg15695194	-0.02219839999999995	1.3595865462746424	0.8877818	0.8655834
TCGA-TQ-A7RV	CD44	cg16175294	-0.048713100000000065	1.3595865462746424	0.9044539	0.8557408
TCGA-TQ-A7RV	CD44	cg16344511	0.21413570000000004	1.3595865462746424	0.551337	0.7654727
TCGA-TQ-A7RV	CD44	cg17640322	0.0039285699999999976	1.3595865462746424	0.0155679	0.01949647
TCGA-TQ-A7RV	CD44	cg18652941	0.061014910000000006	1.3595865462746424	0.02793044	0.08894535
TCGA-TQ-A7RV	CD44	cg19292760	-0.14170250000000006	1.3595865462746424	0.5855377	0.4438352
TCGA-TQ-A7RV	CD44	cg19430728	-0.009738500000000094	1.3595865462746424	0.933687	0.9239485
TCGA-TQ-A7RV	CD44	cg20143092	-0.00017373999999999168	1.3595865462746424	0.07084112	0.07066738
TCGA-TQ-A7RV	CD44	cg20971158	-0.04958470000000004	1.3595865462746424	0.9075183	0.8579336
TCGA-TQ-A7RV	CD44	cg21076259	-0.11719450000000003	1.3595865462746424	0.3793303	0.2621358
TCGA-TQ-A7RV	CD44	cg23186333	-0.054659400000000025	1.3595865462746424	0.9242118	0.8695524
TCGA-TQ-A7RV	CD44	cg23210303	-0.0943216	1.3595865462746424	0.880151	0.7858294
TCGA-TQ-A7RV	CD44	cg25096745	-0.016301600000000027	1.3595865462746424	0.9303291	0.9140275
TCGA-FG-A4MT	CHI3L1	cg02097014	0.1288908294893078	2.2842722416677343	0.0686447351270712	0.197535564616379
TCGA-FG-A4MT	CHI3L1	cg03625911	-0.10398250000000009	2.2842722416677343	0.8481994	0.7442169
TCGA-FG-A4MT	CHI3L1	cg04361579	-0.005352899999999994	2.2842722416677343	0.9529855	0.9476326
TCGA-FG-A4MT	CHI3L1	cg05526099	-0.048398799999999964	2.2842722416677343	0.9671896	0.9187908
TCGA-FG-A4MT	CHI3L1	cg07423149	-0.02745409999999998	2.2842722416677343	0.4334579	0.4060038
TCGA-FG-A4MT	CHI3L1	cg11196333	0.02556119999999995	2.2842722416677343	0.880464	0.9060252
TCGA-FG-A4MT	CHI3L1	cg13134650	0.1510122	2.2842722416677343	0.1299427	0.2809549
TCGA-FG-A4MT	CHI3L1	cg14085262	-0.11142190000000007	2.2842722416677343	0.7610896	0.6496677
TCGA-FG-A4MT	CHI3L1	cg14165900	-0.0018568999999999392	2.2842722416677343	0.9602506	0.9583937
TCGA-FG-A4MT	CHI3L1	cg15490070	-0.10159980000000002	2.2842722416677343	0.8443788	0.742779
TCGA-FG-A4MT	CHI3L1	cg17000774	-0.013317799999999935	2.2842722416677343	0.7935852	0.7802674
TCGA-FG-A4MT	CHI3L1	cg17014757	-0.2596952	2.2842722416677343	0.7949453	0.5352501
TCGA-FG-A4MT	CHI3L1	cg19081101	-0.10035329999999998	2.2842722416677343	0.6667986	0.5664453
TCGA-FG-A4MT	CHI3L1	cg20707774	0.00166910000000009	2.2842722416677343	0.92746	0.9291291
TCGA-FG-A4MT	CD44	cg01663768	0.006270015945490398	1.5018417213345179	0.0766679962056704	0.0829380121511608
TCGA-FG-A4MT	CD44	cg01766065	0.06520702103918569	1.5018417213345179	0.0791555075827533	0.144362528621939
TCGA-FG-A4MT	CD44	cg01879488	0.026145274325331896	1.5018417213345179	0.0314855467414172	0.0576308210667491
TCGA-FG-A4MT	CD44	cg02081846	-0.022143745554301986	1.5018417213345179	0.966195416581048	0.944051671026746
TCGA-FG-A4MT	CD44	cg02663352	-0.06453323540934208	1.5018417213345179	0.955069331423218	0.890536096013876
TCGA-FG-A4MT	CD44	cg04125208	-0.026980400000000015	1.5018417213345179	0.4355619	0.4085815
TCGA-FG-A4MT	CD44	cg04171808	-0.3351718	1.5018417213345179	0.8995992	0.5644274
TCGA-FG-A4MT	CD44	cg04699227	-0.012836699999999923	1.5018417213345179	0.9229991	0.9101624
TCGA-FG-A4MT	CD44	cg06975166	-0.012916599999999945	1.5018417213345179	0.9653613	0.9524447
TCGA-FG-A4MT	CD44	cg07262328	0.0008555000000000021	1.5018417213345179	0.05498921	0.05584471
TCGA-FG-A4MT	CD44	cg08530414	-0.02744160000000001	1.5018417213345179	0.4065589	0.3791173
TCGA-FG-A4MT	CD44	cg08606356	0.010085720000000006	1.5018417213345179	0.03891052	0.04899624
TCGA-FG-A4MT	CD44	cg08688659	-0.05194450000000006	1.5018417213345179	0.950941	0.8989965
TCGA-FG-A4MT	CD44	cg09077672	-0.01399819999999996	1.5018417213345179	0.9563413	0.9423431
TCGA-FG-A4MT	CD44	cg13332350	0.007394200000000017	1.5018417213345179	0.5797918	0.587186
TCGA-FG-A4MT	CD44	cg13369159	-0.00745819999999997	1.5018417213345179	0.931609	0.9241508
TCGA-FG-A4MT	CD44	cg14082886	-0.09486260000000002	1.5018417213345179	0.9603733	0.8655107
TCGA-FG-A4MT	CD44	cg14593191	-0.03319519999999998	1.5018417213345179	0.3958275	0.3626323
TCGA-FG-A4MT	CD44	cg15239179	-0.03017919999999996	1.5018417213345179	0.9420117	0.9118325
TCGA-FG-A4MT	CD44	cg15427520	0.0010666000000000286	1.5018417213345179	0.9479266	0.9489932
TCGA-FG-A4MT	CD44	cg15695194	-0.01505639999999997	1.5018417213345179	0.9019636	0.8869072
TCGA-FG-A4MT	CD44	cg16175294	-0.045066700000000015	1.5018417213345179	0.9317107	0.886644
TCGA-FG-A4MT	CD44	cg16344511	-0.014987399999999984	1.5018417213345179	0.8490822	0.8340948
TCGA-FG-A4MT	CD44	cg17640322	-0.00521452	1.5018417213345179	0.03060311	0.02538859
TCGA-FG-A4MT	CD44	cg18652941	0.007496699999999995	1.5018417213345179	0.06706652	0.07456322
TCGA-FG-A4MT	CD44	cg19292760	-0.03010080000000004	1.5018417213345179	0.5285174	0.4984166
TCGA-FG-A4MT	CD44	cg19430728	-0.011200199999999993	1.5018417213345179	0.9478584	0.9366582
TCGA-FG-A4MT	CD44	cg20143092	0.020894210000000003	1.5018417213345179	0.02034175	0.04123596
TCGA-FG-A4MT	CD44	cg20971158	-0.0266246	1.5018417213345179	0.915421	0.8887964
TCGA-FG-A4MT	CD44	cg21076259	0.0044137999999999955	1.5018417213345179	0.1418988	0.1463126
TCGA-FG-A4MT	CD44	cg23186333	-0.01658780000000004	1.5018417213345179	0.9381271	0.9215393
TCGA-FG-A4MT	CD44	cg23210303	-0.03646779999999994	1.5018417213345179	0.9340276	0.8975598
TCGA-FG-A4MT	CD44	cg25096745	0.003613200000000094	1.5018417213345179	0.9206264	0.9242396
TCGA-DH-A669	CHI3L1	cg02097014	0.10608748435641299	0.44016895738229606	0.18366045994681	0.289747944303223
TCGA-DH-A669	CHI3L1	cg03625911	-0.0009609999999999896	0.44016895738229606	0.8529085	0.8519475
TCGA-DH-A669	CHI3L1	cg04361579	0.007009800000000066	0.44016895738229606	0.9400535	0.9470633
TCGA-DH-A669	CHI3L1	cg05526099	0.003242199999999973	0.44016895738229606	0.9105848	0.913827
TCGA-DH-A669	CHI3L1	cg07423149	0.14084590000000008	0.44016895738229606	0.5617804	0.7026263
TCGA-DH-A669	CHI3L1	cg11196333	0.033073699999999984	0.44016895738229606	0.8452239	0.8782976
TCGA-DH-A669	CHI3L1	cg13134650	0.11090630000000001	0.44016895738229606	0.2273979	0.3383042
TCGA-DH-A669	CHI3L1	cg14085262	-0.03209529999999994	0.44016895738229606	0.84	0.8079047
TCGA-DH-A669	CHI3L1	cg14165900	-0.0014569999999999306	0.44016895738229606	0.9411843	0.9397273
TCGA-DH-A669	CHI3L1	cg15490070	-0.027641499999999986	0.44016895738229606	0.8332622	0.8056207
TCGA-DH-A669	CHI3L1	cg17000774	0.03725820000000002	0.44016895738229606	0.7570089	0.7942671
TCGA-DH-A669	CHI3L1	cg17014757	-0.10250890000000001	0.44016895738229606	0.7192813	0.6167724
TCGA-DH-A669	CHI3L1	cg19081101	0.24474280000000004	0.44016895738229606	0.69336	0.9381028
TCGA-DH-A669	CHI3L1	cg20707774	-0.02477130000000005	0.44016895738229606	0.9136241	0.8888528
TCGA-DH-A669	CD44	cg01663768	0.007116397121243193	-1.4523971784017993	0.0618864356310113	0.0690028327522545
TCGA-DH-A669	CD44	cg01766065	0.13194357764206802	-1.4523971784017993	0.017927122381665	0.149870700023733
TCGA-DH-A669	CD44	cg01879488	0.024698486435535898	-1.4523971784017993	0.0349416608536776	0.0596401472892135
TCGA-DH-A669	CD44	cg02081846	-0.04391740406911604	-1.4523971784017993	0.915411441850515	0.871494037781399
TCGA-DH-A669	CD44	cg02663352	-0.25504892890443	-1.4523971784017993	0.907062395602392	0.652013466697962
TCGA-DH-A669	CD44	cg04125208	-0.010209100000000026	-1.4523971784017993	0.2626317	0.2524226
TCGA-DH-A669	CD44	cg04171808	0.155513	-1.4523971784017993	0.1518466	0.3073596
TCGA-DH-A669	CD44	cg04699227	-0.019795999999999925	-1.4523971784017993	0.8494474	0.8296514
TCGA-DH-A669	CD44	cg06975166	0.025259399999999932	-1.4523971784017993	0.9153816	0.940641
TCGA-DH-A669	CD44	cg07262328	-0.02535204	-1.4523971784017993	0.07222866	0.04687662
TCGA-DH-A669	CD44	cg08530414	0.044954400000000005	-1.4523971784017993	0.4217116	0.466666
TCGA-DH-A669	CD44	cg08606356	0.03215710000000001	-1.4523971784017993	0.03388015	0.06603725
TCGA-DH-A669	CD44	cg08688659	-0.038140799999999975	-1.4523971784017993	0.9585099	0.9203691
TCGA-DH-A669	CD44	cg09077672	-0.6693591000000001	-1.4523971784017993	0.901078	0.2317189
TCGA-DH-A669	CD44	cg13332350	-0.006200100000000042	-1.4523971784017993	0.4517436	0.4455435
TCGA-DH-A669	CD44	cg13369159	-0.02291310000000002	-1.4523971784017993	0.9223607	0.8994476
TCGA-DH-A669	CD44	cg14082886	-0.02264149999999998	-1.4523971784017993	0.9404941	0.9178526
TCGA-DH-A669	CD44	cg14593191	0.1545915	-1.4523971784017993	0.1580108	0.3126023
TCGA-DH-A669	CD44	cg15239179	0.043694199999999905	-1.4523971784017993	0.7793522	0.8230464
TCGA-DH-A669	CD44	cg15427520	-0.032497700000000074	-1.4523971784017993	0.9218943	0.8893966
TCGA-DH-A669	CD44	cg15695194	-0.002568899999999985	-1.4523971784017993	0.8757205	0.8731516
TCGA-DH-A669	CD44	cg16175294	0.005118799999999979	-1.4523971784017993	0.9213818	0.9265006
TCGA-DH-A669	CD44	cg16344511	0.04671349999999999	-1.4523971784017993	0.1814908	0.2282043
TCGA-DH-A669	CD44	cg17640322	0.0016049800000000006	-1.4523971784017993	0.01395252	0.0155575
TCGA-DH-A669	CD44	cg18652941	0.011548109999999993	-1.4523971784017993	0.05479102	0.06633913
TCGA-DH-A669	CD44	cg19292760	-0.17723940000000005	-1.4523971784017993	0.7089176	0.5316782
TCGA-DH-A669	CD44	cg19430728	-0.1136045	-1.4523971784017993	0.8884527	0.7748482
TCGA-DH-A669	CD44	cg20143092	0.016556380000000002	-1.4523971784017993	0.01768886	0.03424524
TCGA-DH-A669	CD44	cg20971158	0.0021908999999999956	-1.4523971784017993	0.8848365	0.8870274
TCGA-DH-A669	CD44	cg21076259	0.15376929999999994	-1.4523971784017993	0.4468108	0.6005801
TCGA-DH-A669	CD44	cg23186333	0.024788699999999997	-1.4523971784017993	0.7320095	0.7567982
TCGA-DH-A669	CD44	cg23210303	-0.02646919999999997	-1.4523971784017993	0.7503801	0.7239109
TCGA-DH-A669	CD44	cg25096745	-0.028113000000000055	-1.4523971784017993	0.9262019	0.8980889
TCGA-DU-6397	CHI3L1	cg02097014	-0.11614319920204502	0.9416233682794329	0.254977977705364	0.138834778503319
TCGA-DU-6397	CHI3L1	cg03625911	-0.12764929999999997	0.9416233682794329	0.8167763	0.689127
TCGA-DU-6397	CHI3L1	cg04361579	0.017271000000000036	0.9416233682794329	0.9341528	0.9514238
TCGA-DU-6397	CHI3L1	cg05526099	-0.0033720000000000416	0.9416233682794329	0.9329904	0.9296184
TCGA-DU-6397	CHI3L1	cg07423149	-0.04189540000000003	0.9416233682794329	0.570531	0.5286356
TCGA-DU-6397	CHI3L1	cg11196333	-0.1065429	0.9416233682794329	0.8582681	0.7517252
TCGA-DU-6397	CHI3L1	cg13134650	-0.18113859999999998	0.9416233682794329	0.3224182	0.1412796
TCGA-DU-6397	CHI3L1	cg14085262	-0.23483029999999994	0.9416233682794329	0.6053135	0.3704832
TCGA-DU-6397	CHI3L1	cg14165900	0.01233059999999997	0.9416233682794329	0.9355932	0.9479238
TCGA-DU-6397	CHI3L1	cg15490070	-0.0583804	0.9416233682794329	0.800364	0.7419836
TCGA-DU-6397	CHI3L1	cg17000774	-0.3388409	0.9416233682794329	0.68679	0.3479491
TCGA-DU-6397	CHI3L1	cg17014757	-0.06798530000000003	0.9416233682794329	0.6972422	0.6292569
TCGA-DU-6397	CHI3L1	cg19081101	-0.3708464	0.9416233682794329	0.8086873	0.4378409
TCGA-DU-6397	CHI3L1	cg20707774	0.0455063	0.9416233682794329	0.8826053	0.9281116
TCGA-DU-6397	CD44	cg01663768	-0.0198351292182051	-0.5917072824406026	0.0754892843185591	0.055654155100354
TCGA-DU-6397	CD44	cg01766065	-0.030437413802305902	-0.5917072824406026	0.0431378753041466	0.0127004615018407
TCGA-DU-6397	CD44	cg01879488	-0.0217230995321553	-0.5917072824406026	0.0486120222365064	0.0268889227043511
TCGA-DU-6397	CD44	cg02081846	-0.004910840989077014	-0.5917072824406026	0.936522907817938	0.931612066828861
TCGA-DU-6397	CD44	cg02663352	0.05864775120021104	-0.5917072824406026	0.859990965707133	0.918638716907344
TCGA-DU-6397	CD44	cg04125208	-0.020621199999999992	-0.5917072824406026	0.13501	0.1143888
TCGA-DU-6397	CD44	cg04171808	-0.12422530000000004	-0.5917072824406026	0.5899193	0.465694
TCGA-DU-6397	CD44	cg04699227	0.01041610000000004	-0.5917072824406026	0.8717009	0.882117
TCGA-DU-6397	CD44	cg06975166	-0.0005017000000000493	-0.5917072824406026	0.9455603	0.9450586
TCGA-DU-6397	CD44	cg07262328	-0.028097789999999997	-0.5917072824406026	0.08050655	0.05240876
TCGA-DU-6397	CD44	cg08530414	-0.06021477999999998	-0.5917072824406026	0.1258461	0.06563132
TCGA-DU-6397	CD44	cg08606356	-0.007252049999999996	-0.5917072824406026	0.03783129	0.03057924
TCGA-DU-6397	CD44	cg08688659	0.0295493	-0.5917072824406026	0.9173442	0.9468935
TCGA-DU-6397	CD44	cg09077672	-0.03815080000000004	-0.5917072824406026	0.9399115	0.9017607
TCGA-DU-6397	CD44	cg13332350	-0.03268890000000002	-0.5917072824406026	0.6118315	0.5791426
